Parameter,True_Beta,OLS_Mean,OLS_Bias,OLS_Var,OLS_MSE,OLS_L2,MM_Mean,MM_Bias,MM_Var,MM_MSE,MM_L2,LASSO_Mean,LASSO_Bias,LASSO_Var,LASSO_MSE,LASSO_L2,CorrectLASSO_Mean,CorrectLASSO_Bias,CorrectLASSO_Var,CorrectLASSO_MSE,CorrectLASSO_L2,CoCoLASSO_Mean,CoCoLASSO_Bias,CoCoLASSO_Var,CoCoLASSO_MSE,CoCoLASSO_L2
X8,0,-0.703061819,-0.703061819,0.650792651,1.145088573,86.91267828,-9.322265889,-9.322265889,52936.63381,53023.53845,3160.617074,-0.661507121,-0.661507121,0.315513597,0.753105268,73.88452637,-0.008609087,-0.008609087,0.501693683,0.501767799,65.88767793,-0.081723612,-0.081723612,0.162577986,0.169256735,49.80421194
X9,0,-0.03051892,-0.03051892,0.548501949,0.549433353,86.91267828,0.338863294,0.338863294,24942.71254,24942.82737,3160.617074,-0.140924072,-0.140924072,0.12625589,0.146115484,73.88452637,0.069787866,0.069787866,0.296263713,0.30113406,65.88767793,0.055614245,0.055614245,0.122053505,0.125146449,49.80421194
X10,0,-0.382685122,-0.382685122,0.619910677,0.766358579,86.91267828,9.619719992,9.619719992,27469.74696,27562.28597,3160.617074,-0.14210723,-0.14210723,0.124025631,0.144220096,73.88452637,0.162769511,0.162769511,0.954641145,0.981135059,65.88767793,0.01293299,0.01293299,0.086435832,0.086603095,49.80421194
X11,0,0.111768476,0.111768476,0.54436183,0.556854022,86.91267828,3.312096109,3.312096109,31870.81427,31881.78425,3160.617074,0.081955628,0.081955628,0.100705506,0.107422231,73.88452637,0.136465053,0.136465053,0.199883819,0.21850653,65.88767793,0.09570592,0.09570592,0.144877319,0.154036942,49.80421194
X12,0,-0.921934454,-0.921934454,0.514345085,1.364308222,86.91267828,-9.038279253,-9.038279253,72762.56511,72844.2556,3160.617074,-0.59765278,-0.59765278,0.251206003,0.608394848,73.88452637,-0.022793372,-0.022793372,0.237895051,0.238414589,65.88767793,-0.109106508,-0.109106508,0.124132589,0.136036819,49.80421194
X13,0,0.753855442,0.753855442,0.598351457,1.166649484,86.91267828,-9.197281146,-9.197281146,85370.0298,85454.61978,3160.617074,0.368831422,0.368831422,0.233868087,0.369904705,73.88452637,0.14398152,0.14398152,0.446422703,0.467153381,65.88767793,0.103441925,0.103441925,0.179970926,0.190671158,49.80421194
X14,0,-1.883625233,-1.883625233,0.564524035,4.112568053,86.91267828,-2.900034044,-2.900034044,56639.04614,56647.45634,3160.617074,-1.460918921,-1.460918921,0.407474669,2.541758761,73.88452637,-0.020748474,-0.020748474,0.29545891,0.295889409,65.88767793,-0.165056102,-0.165056102,0.193654677,0.220898193,49.80421194
X15,0,-2.59806988,-2.59806988,0.588526668,7.338493768,86.91267828,-8.918030055,-8.918030055,44722.61953,44802.15079,3160.617074,-1.94672038,-1.94672038,0.39831466,4.188034898,73.88452637,0.067159375,0.067159375,1.016214458,1.02072484,65.88767793,-0.13870249,-0.13870249,0.187451672,0.206690053,49.80421194
X16,0,-0.002378992,-0.002378992,0.507426291,0.507431951,86.91267828,-2.747953598,-2.747953598,43709.92938,43717.48063,3160.617074,0.041175442,0.041175442,0.093376979,0.095072396,73.88452637,0.213199092,0.213199092,1.054683572,1.100137425,65.88767793,0.120003264,0.120003264,0.186649334,0.201050118,49.80421194
X17,0,-0.472450343,-0.472450343,0.543019105,0.766228432,86.91267828,7.586800562,7.586800562,65095.89541,65153.45496,3160.617074,-0.178953181,-0.178953181,0.135793645,0.167817886,73.88452637,0.054741036,0.054741036,0.281841576,0.284838157,65.88767793,-0.022424209,-0.022424209,0.117342634,0.117845479,49.80421194
X18,0,-0.36648284,-0.36648284,0.54712663,0.681436302,86.91267828,2.395445278,2.395445278,77214.12483,77219.86298,3160.617074,-0.134229775,-0.134229775,0.108821613,0.126839245,73.88452637,0.039215835,0.039215835,0.320507116,0.322044998,65.88767793,-0.032454891,-0.032454891,0.096804009,0.097857329,49.80421194
X19,0,0.403536317,0.403536317,0.629161053,0.792002612,86.91267828,-0.832906956,-0.832906956,10820.53503,10821.22876,3160.617074,0.05538625,0.05538625,0.120208631,0.123276268,73.88452637,0.045238998,0.045238998,0.487977521,0.490024087,65.88767793,0.0369608,0.0369608,0.080213938,0.081580038,49.80421194
X20,0,-0.249146328,-0.249146328,0.632235806,0.694309698,86.91267828,0.080695683,0.080695683,79581.02193,79581.02844,3160.617074,-0.130864729,-0.130864729,0.130383445,0.147509022,73.88452637,0.185525564,0.185525564,1.165081134,1.199500868,65.88767793,0.073716348,0.073716348,0.150739283,0.156173383,49.80421194
X21,0,-0.189513563,-0.189513563,0.640488796,0.676404187,86.91267828,-2.243757352,-2.243757352,22722.35748,22727.39193,3160.617074,-0.137177674,-0.137177674,0.130953901,0.149771615,73.88452637,0.06644706,0.06644706,0.355637594,0.360052806,65.88767793,0.01479422,0.01479422,0.099957324,0.100176193,49.80421194
X22,0,0.612546864,0.612546864,0.554461986,0.929675646,86.91267828,-10.65313937,-10.65313937,38718.05051,38831.53988,3160.617074,0.383997879,0.383997879,0.204652825,0.352107196,73.88452637,0.337971718,0.337971718,1.289317436,1.403542318,65.88767793,0.226643164,0.226643164,0.340570416,0.39193754,49.80421194
X23,0,-0.876774935,-0.876774935,0.576111676,1.344845963,86.91267828,8.41605666,8.41605666,39957.62447,40028.45448,3160.617074,-0.576065484,-0.576065484,0.274259457,0.606110899,73.88452637,-0.024498206,-0.024498206,0.293256259,0.293856421,65.88767793,-0.119902433,-0.119902433,0.175359889,0.189736483,49.80421194
X24,0,1.167680602,1.167680602,0.609432035,1.972910024,86.91267828,-1.976436849,-1.976436849,71643.76706,71647.67336,3160.617074,0.694715858,0.694715858,0.330509641,0.813139764,73.88452637,0.1133708,0.1133708,0.630925435,0.643778373,65.88767793,0.101207745,0.101207745,0.131181086,0.141424094,49.80421194
